y1,y2,d,c1,t1,treat,placebo
454,8.7,1,,113.1,4.728272383,
109.7,14.1,1,,1079,6.983789965,
23.7,123.9,1,,45.6,3.819907717,
464,12.1,1,,1630,7.396335294,
9810,99.1,1,,79.4,4.374498368,
255,18.6,1,,508,6.230481448,
58.7,10.5,1,,3190,8.067776196,
225,6.6,1,,542,6.295266001,
90.1,74,1,,1021,6.928537818,
50,43.9,1,,235,5.459585514,
5.6,45.7,1,,251,5.525452939,
4070,13,1,,3160,8.058327307,
592,7.3,1,,479,6.171700597,
28.6,8.6,1,,222,5.402677382,
6160,17.2,1,,15.7,2.753660712,
1090,15.4,1,,2540,7.83991936,
10.4,14.3,1,,11630,9.361343246,
27.3,93.1,1,,1810,7.501082124,
162,66.3,1,,6.9,1.931521412,
3560,26.7,1,,4.1,1.410986974,
14.7,32.4,1,,15.6,2.747270914,
83.3,9.9,1,,9820,9.192176401,
336,30.3,1,,1490,7.306531399,
55.7,11.2,1,,15.7,2.753660712,
1520,202,1,,45.8,3.824284091,
3.9,35.7,1,,7.8,2.054123734,
5.8,9.2,1,,12.8,2.549445171,
8.45,103.6,1,,100.5333,4.610489016,
361,21.4,1,,227,5.424950017,
369,8.1,1,,70.9,4.261270434,
8230,29.9,1,,2500,7.824046011,
39.3,17.5,1,,,,
43.5,30.8,1,,,,
361,57.3,1,,,,
12.8,6.5,1,,,,
18,33.8,1,,,,
9590,53.6,1,,,,
555,17.2,1,,,,
60.2,94.2,1,,,,
21.8,33.5,1,,,,
900,3.7,1,,,,
6.6,11.7,1,,,,
239,19.9,1,,,,
3100,38.7,1,,,,
3275,27.3,1,,,,
682,20.1,1,,,,
85.4,86.1,1,,,,
10290,844,1,,,,
770,36.9,1,,,,
247.6,6.9,1,,,,
12320,27.7,1,,,,
113.1,9.9,1,,,,
1079,38.6,1,,,,
45.6,142.6,1,,,,
1630,12.5,1,,,,
79.4,11.6,1,,,,
508,21.2,1,,,,
3190,13.2,1,,,,
542,19.2,1,,,,
1021,1024,1,,,,
235,14.1,1,,,,
251,34.8,1,,,,
3160,35.3,1,,,,
479,35,1,,,,
222,15.5,1,,,,
15.7,12.1,1,,,,
2540,31.6,1,,,,
11630,184.8,1,,,,
1810,24.8,1,,,,
6.9,10.4,1,,,,
4.1,34.5,1,,,,
15.6,19.4,1,,,,
9820,22.2,1,,,,
1490,53.9,1,,,,
15.7,15.4,1,,,,
45.8,17.3,1,,,,
7.8,36.8,1,,,,
12.8,49.8,1,,,,
100.5333,26.5667,1,,,,
227,9.7,1,,,,
70.9,19.2,1,,,,
2500,14.2,1,,,,
